dim,depth,heads,attn_dropout,accuracy,precision,recall,f1,auc,dataset,group
32,4,4,0.2,0.9295774647887324,0.9361702127659575,0.9565217391304348,0.946236559139785,0.971304347826087,ionosphere,4
64,3,4,0.1,0.9436619718309859,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.96,ionosphere,4
16,2,2,0.1,0.8,0.7868852459016393,0.9795918367346939,0.8727272727272727,0.8872691933916423,spectf,4
32,4,4,0.2,0.7571428571428571,0.7424242424242424,1.0,0.8521739130434782,0.8785228377065112,spectf,4
64,3,4,0.1,0.8142857142857143,0.8,0.9795918367346939,0.8807339449541285,0.8853255587949466,spectf,4
16,2,2,0.1,0.9895833333333334,0.975609756097561,1.0,0.9876543209876543,1.0,clean1,5
32,4,4,0.2,1.0,1.0,1.0,1.0,1.0,clean1,5
64,3,4,0.1,0.9895833333333334,0.975609756097561,1.0,0.9876543209876543,0.9991071428571429,clean1,5
16,2,2,0.1,0.9195402298850575,0.8918918918918919,0.9166666666666666,0.9041095890410958,0.9765795206971676,house_votes_84,5
32,4,4,0.2,0.9195402298850575,0.8918918918918919,0.9166666666666666,0.9041095890410958,0.9814814814814814,house_votes_84,5
64,3,4,0.1,0.9195402298850575,0.8918918918918919,0.9166666666666666,0.9041095890410958,0.9820261437908495,house_votes_84,5
16,2,2,0.1,0.63,0.5333333333333333,0.9523809523809523,0.6837606837606838,0.853448275862069,irish,5
32,4,4,0.2,0.7,0.75,0.42857142857142855,0.5454545454545454,0.8612479474548439,irish,5
64,3,4,0.1,0.74,0.66,0.7857142857142857,0.717391304347826,0.7976190476190476,irish,5
16,2,2,0.1,0.6881720430107527,0.0,0.0,0.0,0.6885775862068966,saheart,5
32,4,4,0.2,0.6989247311827957,1.0,0.034482758620689655,0.06666666666666667,0.6724137931034483,saheart,5
64,3,4,0.1,0.6881720430107527,0.0,0.0,0.0,0.6691810344827587,saheart,5
16,2,2,0.1,0.9425287356321839,0.8888888888888888,0.9696969696969697,0.927536231884058,0.98989898989899,vote,5
32,4,4,0.2,0.9195402298850575,0.8611111111111112,0.9393939393939394,0.8985507246376812,0.9893378226711559,vote,5
64,3,4,0.1,0.9540229885057471,0.8918918918918919,1.0,0.9428571428571428,0.9949494949494949,vote,5
